NCTId,BriefTitle,BriefSummary,DetailedDescription,OverallStatus,Gender,MinimumAge,MaximumAge,Keyword,PrimaryOutcomeTimeFrame,DesignAllocation,DesignInterventionModel,DesignPrimaryPurpose,Condition,InterventionName
NCT02142738,"Study of Pembrolizumab (MK 3475) Compared to Platinum Based Chemotherapies in Participants With Metastatic Non Small Cell Lung Cancer (MK 3475 024,KEYNOTE 024)","This is a study to assess the efficacy and safety of pembrolizumab (MK 3475,SCH 900475) compared to standard of care (SOC) platinum based chemotherapies in the treatment of participants with previously untreated stage IV, programmed cell death ligand 1 (PD L1) strong expressing Non Small Cell Lung Cancer (NSCLC). The primary hypothesis of this study is that participants with PD L1 strong NSCLC will have a longer Progression Free Survival (PFS), as assessed by Response Evaluation Criteria in Solid Tumors version 1.1 (RECIST 1.1) when treated with pembrolizumab than when treated with SOC platinum based chemotherapies. With Amendment 09 (20 December 2017), once participants have achieved the study objective or the study has ended, participants will be discontinued from this study and enrolled in an extension study to continue protocol defined assessments and treatment.","Treatment Phase: Participants randomized to pembrolizumab will be treated for up to 35 cycles or until documented progressive disease (PD) occurs. Participants randomized to SOC chemotherapies will be treated with their randomized study drug for up to 4 6 cycles. After this, participants with non squamous histologies may choose to be treated with maintenance pemetrexed for the remainder of the study or until disease progression, unacceptable adverse event(s) (AEs), intercurrent illness that prevents further administration of treatment, investigators decision to withdraw the participant, noncompliance with study treatment or procedures requirements, the participant receives 35 treatments of study treatment (pembrolizumab arm only), or administrative reasons. Participants receiving pembrolizumab who stop drug administration after receiving 35 study treatments for reasons other than disease progression or intolerability, or participants who attain a complete response and stop study treatment may be eligible for retreatment with pembrolizumab upon experiencing disease progression. The decision to retreat with a second course of pembrolizumab will be at the discretion of the Investigator only if participants meet the criteria for retreatment and the study is ongoing. Retreatment (second course) is limited to 17 cycles. Participants randomized to receive SOC chemotherapy may be eligible to receive pembrolizumab if criteria to switch are met. Switch Over Phase: This is only applicable for participants randomized to receive SOC. Eligible participants will be treated with pembrolizumab for the remainder of the study or until disease progression, unacceptable AEs, intercurrent illness that prevents further administration of treatment, investigators decision to withdraw the participant, noncompliance with study treatment or procedures requirements, the participant receives 35 treatments of study treatment (pembrolizumab arm only), or administrative reasons.",Completed,All,18 Years,,"Programmed cell death 1 (PD 1), Programmed cell death 1 (PD1), Programmed death ligand 1 (PDL1), PD L1",Month 6,Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Carcinoma,"Pembrolizumab, Paclitaxel, Carboplatin, Pemetrexed, Cisplatin, Gemcitabine"
NCT01868022,"Study to Evaluate GSK3052230 in Combination With Paclitaxel and Carboplatin, or Docetaxel or as Single Agent in Subjects With Solid Malignancies and Deregulated Fibroblast Growth Factor (FGF) Pathway Signaling","This phase IB trial aims to identify anticancer activity of GSK3052230 in subjects with malignancies with abnormal dependence on FGF pathway signaling. Combination doses of GSK3052230 with standard of care chemotherapy in the first and second line or greater setting of metastatic squamous non small cell lung cancer (NSCLC) and first line malignant pleural mesothelioma subjects will be studied in the 3+3 dose escalation design. This will be a multi arm, multicenter, non randomized, parallel group, uncontrolled, open label Phase IB study designed to evaluate the safety, tolerability and preliminary activity of GSK3052230 in combination with paclitaxel + carboplatin (Arm A), in combination with docetaxel (Arm B), or in combination with pemetrexed + cisplatin (Arm C). Approximately 70 subjects will be enrolled in the study (approximately up to 120 may be enrolled).",,Completed,All,18 Years,,"FGFR1, FP1039, GSK3052230, docetaxel, FGFR, carboplatin, HGS1036, squamous non small cell lung cancer, paclitaxel","Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks, Baseline and up to Median of 28.5 weeks, Baseline and up to Median of 28.5 weeks, Baseline and up to Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks, Up to Cycle 16 (each cycle was of 21 days), Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks, Median of 28.5 weeks",Non Randomized,Parallel Assignment,Treatment,Neoplasms,"GSK3052230, paclitaxel, carboplatin, docetaxel, pemetrexed, cisplatin"
NCT02193633,A Phase I Trial of the Combination of AZD2014 and Weekly Paclitaxel.,"This is a Phase I study to evaluate the safety and toxicity profile of AZD2014, a novel anticancer agent, in combination with paclitaxel. AZD2014 will be given orally, twice daily at a starting dose of 25 mg per day for 3 days on, 4 days off with a weekly infusion of 80 mg of paclitaxel for 6 weeks followed by a treatment break of one week, therefore each cycle will be 7 weeks long. Cohorts of three patients will be treated at this dose of AZD2014 and then at 50mg and 75 mg providing is it safe to do so. Once we have determined the maximum tolerated dose (MTD) using the 3 days on, 4 days off schedule of AZD2014, patients will be given AZD2014 2 days on, 5 days with their paclitaxel infusion. Patients will be enrolled in cohorts of three to evaluate three escalating doses of AZD2014 to determine the MTD for the 2 days on, 5 days off schedule. On completion of the dose escalation phase of the study patients with ovarian cancer and squamous cell lung cancer will be treated at the MTD established for each dosing schedule. A minimum of 10 ovarian cancer patients and 15 squamous cell lung patients will be enrolled to the 3 days on, 4 days off schedule. Whilst a minimum of 10 squamous cell cancer patients will be enrolled to the 2 days on, 5 days off schedule to further assess the tolerability of the combination of AZD2014 and paclitaxel.","This is a multi centre, Phase I clinical trial of the combination of AZD2014 and weekly paclitaxel. Two intermittent BD dosing schedules of AZD2014 in combination with paclitaxel will be evaluated. The 3 days on 4 days off schedule will examine 3 continuous days of AZD2014 per week in combination with weekly paclitaxel. The 2 days on 5 days off schedule will examine 2 sequential days of AZD2014 dosing in combination with weekly paclitaxel. For both schedules, a dose escalation 3+3 design will be used to establish the MTD and the recommended Phase II dose. Approximately 15 patients with solid tumours will be entered into each schedule during the dose escalation of this phase. The expansion part of the trial will be used to further assess the tolerability of AZD2014 in combination with weekly paclitaxel. For the 3 days on 4 days off schedule 10 patients with ovarian cancer and 15 patients with squamous lung cancer will be enrolled and treated at the MTD established from the dose escalation phase. Accrual to these expansion arms may commence as soon as the MTD is determined and proceed in parallel with the dose escalation phase of the 2 days on 5 days off schedule. Once the MTD has been determined for the 2 days on 5 days off schedule 15 patients with squamous lung cancer may be enrolled. Determination of the MTD and decision to enter the expansion phase for each schedule will be made by the Safety Review Committee (SRC) taking into consideration the safety data and available PK,PD data.",Completed,All,18 Years,75 Years,,First cycle of treamtent (7 weeks),Non Randomized,Single Group Assignment,Treatment,Advanced Cancer,"AZD2014 3 on,4 off & weekly paclitaxel, AZD2014 2 on,5 off & weekly paclitaxel"
NCT01831089,"Phase I Study of Lurbinectedin (PM01183) in Combination With Paclitaxel, With or Without Bevacizumab, in Selected Advanced Solid Tumors","Clinical trial of PM01183 in combination with paclitaxel, with or without bevacizumab, in patients with solid tumors","Clinical trial to determine the maximum tolerated dose (MTD) and the recommended dose (RD) of PM01183 in combination with weekly paclitaxel, with or without bevacizumab. Once a recommended dose is defined for the PM01183 and weekly paclitaxel combination, the feasibility of adding bevacizumab to this combination will be explored in a selected cohort of patients to characterize the safety profile and feasibility of this combination, to obtain preliminary information on antitumor activity, to obtain preliminary information on quality of life (QoL), to characterize the pharmacokinetics (PK) of this combination and to detect major drug drug PK interactions and PK(pharmacokinetic),PD(pharmacodynamic) correlation and to conduct an exploratory pharmacogenomic(PGx) analysis in patients with selected advanced solid tumors.",Completed,All,18 Years,75 Years,,"The MTD was followed mainly during Cycle 1 through study completion, an average of 5 cycles for PM1183 in cohort A and 9.5 cycles in cohort B were observed (cycle duration: 3 weeks), The RD was followed mainly during Cycle 1 through study completion, an average of 5 cycles for PM1183 in cohort A and 9.5 cycles in cohort B were observed (cycle duration: 3 weeks), DLT was followed mainly during Cycle 1 through study completion, an average of 5 cycles for PM1183 in cohort A and 9.5 cycles in cohort B were observed (cycle duration: 3 weeks)",,Single Group Assignment,Treatment,"Breast Cancer, Ovarian Cancer, Gynecological Cancer, Head and Neck Carcinoma, Non small Cell Lung Cancer, Small Cell Lung Cancer, Non squamous Cell Lung Cancer","PM01183 + paclitaxel +, bevacizumab"
NCT00117442,"A Study of Carboplatin,Paclitaxel With Pegfilgrastim Supported by Haematopoietic Progenitor Cell Re Infusion in Whole Blood","The purpose of this study is to provide dose finding information regarding the efficacy and kinetics of peripheral blood progenitor cell (PBPC) mobilisation by pegfilgrastim and to determine if carboplatin,paclitaxel can be delivered at a reduced cycle interval when supported by pegfilgrastim mobilised PBPCs in whole blood.",,Completed,All,18 Years,65 Years,"solid tumour, unknown primary tumour, carboplatin, paclitaxel","Cycle 0, and through 4 cycles",Randomized,Parallel Assignment,Treatment,"Breast Cancer, Lung Cancer, Ovarian Cancer","carboplatin, paclitaxel, pegfilgrastim"
NCT01404260,Intercalating and Maintenance Use of Iressa Versus Chemotherapy in Selected Advanced Non Small Cell Lung Cancer,"Platinum based combination chemotherapy, such as gemcitabine carboplatin, is one of the standard first line therapy for advanced non small cell lung cancer (NSCLC). Epidermal growth factor receptor tyrosine kinase inhibitors (EGFR TKI) have clinical efficacy, as compared with the best supportive care or standard chemotherapy, when given as second line or third line therapy for advanced NSCLC. Treatment with EGFR TKI is most effective in female, never smoker, or patients with adenocarcinoma, and patients of Asian origin. In these populations, such treatment is associated with favorable objective response rates, progression free survival, and overall survival. These populations also have a relatively high incidence of somatic mutations in the region of the EGFR gene that encodes the tyrosine kinase domain. The recent study(IPASS) by Tony S. Mok showed gefitinib was superior to carboplatin paclitaxel as an initial treatment for pulmonary adenocarcinoma among nonsmokers or former light smokers in East Asia . In the subgroup of 261 patients who were positive for the EGFR gene mutation, PFS was significantly longer among those who received gefitinib than among those who received carboplatin paclitaxel(HR= 0.48,P<0.001), whereas in the subgroup of 176 patients who were negative for the mutation, PFS was significantly longer among those who received carboplatin paclitaxel(HR=2.85,P<0.001). Gefitinib treatment was well tolerated, with lower in hematologic toxicity, and no treatment related interstitial lung disease.In this study(IPASS), only patients with a mutation of the EGFR gene in the tumor could get benefit from gefitinib as first line treatment. Tony S. Mok and his colleague also found that intercalating and maintenance administration of erlotinib(another EGFR TKI)following gemcitabine,platinum chemotherapy as first line therapy led to a significant improvement in PFS .","Nowadays,EGFR mutation status is unknown for most of the advanced NSCLC patients in clinical practice.Those patients with high probability of EGFR mutation maybe could get benefit from gefitinib as first line treatment. For this reason, the investigators need more investigation to focus on EGFR mutation unknown patients. In the previous study (including FAST ACT), the patients enrolled trial received EGFR TKI plus chemotherapy nearly simultaneously,so the investigators could not know whether those patients gained benefit from EGFR TKI or chemotherapy, maybe chemotherapy alone was enough. If the patients with EGFR mutation status unknown could get stable disease(SD) after two cycles of chemotherapy,those patients may be optimal for the investigation of intercalating and maintenance administration of gefitinib. The reasons are that chemotherapy may be enough for those with objective response after two cycles chemotherapy, of course, those with disease progression (PD) should be excluded from the study. On the basis of these and other studies, the investigators hypothesized that in a selected population,first line chemotherapy(gemcitabine +carboplatin) with intercalating and maintenance use of gefitinib would be more efficacious than chemotherapy alone. In this study, the investigators compared the efficacy, safety, and adverse event profile of chemotherapy plus gefitinib with those of chemotherapy alone, when these drugs were used as first line treatment in nonsmokers or former light smokers in China, who had lung adenocarcinoma with EGFR gene mutation unknown.",Completed,All,18 Years,75 Years,"chemotherapy, maintenance therapy, gefitinib","The evaluation of disease is demanded every two months for the patients receiving maintenance use of Gefitinib or patients in observation after chemotherapy,until disease progression occured",Randomized,Parallel Assignment,Treatment,Non small Cell Lung Cancer,"Gefitinib, Gemcitabine +Carboplatin"
NCT00686959,Chemotherapy and Radiation in Treating Participants With Stage 3 Non Small Cell Lung Cancer,"This study will compare the overall survival of participants with locally advanced, Stage III Non Small Cell Lung Cancer (NSCLC) with nonsquamous cell histology.",,Completed,All,18 Years,,,Baseline to Date of Death from Any Cause (Up to 71.4 Months),Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Cancer,"Pemetrexed, Cisplatin, Etoposide, Vinorelbine, Paclitaxel, Carboplatin, Thoracic Radiation Therapy (TRT)"
NCT02273713,The Addition of Nab paclitaxel (Abraxane) to First Line Treatment of Metastasized Oesophagogastric Carcinoma (ACTION),"Oesophagogastric cancer is a major cause of cancer related mortality, with an overall 5 year survival rate of 10% worldwide and patients are often diagnosed with locally advanced or metastasized disease at first presentation. For advanced oesophagogastric cancer fluoropyrimidines are the backbone of palliative chemotherapy and is commonly used in 2 or 3 drug combinations . However, in clinical practice after progression on first line therapy, a substantial number of oesophagogastric cancer patients may not be able to start second line chemotherapy due to rapid clinical deterioration. Therefore, new triplets with high anti tumor activity and low toxicity are urgently needed. Given the activity of capecitabine and oxaliplatin containing regimens and the potential of taxanes in oesophagogastric cancer, the investigators propose a phase I study combining capecitabine and oxaliplatin with Nab paclitaxel. Solvent based taxanes (paclitaxel, docetaxel) can cause severe toxicities not only by the active agents itself but also by the solvents like cremophor. Nab paclitaxel (Abraxane) is a solvent free formulation of paclitaxel encapsulated in albumin. It does not require premedication with corticosteroids or antihistamines to prevent the risk of solvent mediated hypersensitivity reactions. This new formulation improves safety profile, allows higher dosing with shorter infusion duration, and produces higher tumor drug concentration. It has proven activity in breast cancer, non small lung cancer and pancreatic cancer, as well as in gastric cancer models.","Phase 1: To assess the safety and tolerability of Nab paclitaxel added to oxaliplatin and capecitabine at their currently optimal doses. Phase 2: To determine the anti tumor activity of Nab paclitaxel when co administered with oxaliplatin and capecitabine in patients with irresectable or metastasized oesophagogastric cancer in terms of progression free survival. Study design This is a single center, open label, dose finding, phase I,II study. Intervention In the phase I part of the study, the dose of nab paclitaxel in combination of capecitabine and oxaliplatin will be escalated in fixed increments according to the dose escalation scheme outlined below Dose level Nab paclitaxel Capecitabine Oxaliplatin Minimum Day 1 and 8 14 days Day 1 and 8 number of patients 1 40 mg,m2 1000 mg,m2 65 mg,m2  (starting) 60 mg,m2 1000 mg,m2 65 mg,m2 3. 80 mg, m2 1000 mg,m2 65 mg,m2 3. 100 mg, m2 1000 mg,m2 65 mg,m2 3. 120 mg, m2 1000 mg,m2 65 mg,m2 3 In the phase II part of the study the maximum tolerated dose from the phase I part of the study will be used in combination with fixed dosages of capecitabine and oxaliplatin; nab paclitaxel day 1 and 8 according to the Maximum Tolerated Dose (MTD) of the phase 1 part of the study combined with capecitabine for 14 days at 1000mg,m2 twice daily and oxaliplatin day 1 and 8 65mg,m2.",Completed,All,18 Years,,"Esophageal cancer, Metastasized, Nab paclitaxel, Toxicity, First line treatment, Phase Ib,II","12 months, approximately 36 months",,Single Group Assignment,Treatment,"Esophageal Cancer, Toxicity",Nab paclitaxel
NCT00271505,"Avastin,Docetaxel,Carboplatin in Non Small Cell Lung Cancer",The goal of this clinical research study is to evaluate the effectiveness of Avastin® in combination with docetaxel and carboplatin in the treatment of lung cancer. The safety of this combination will also be studied.,"Avastin® is a humanized monoclonal antibody that binds to vascular endothelial growth factor (VEGF). VEGF plays an important role in the growth of both normal and abnormal blood vessels. Avastin® is designed to prevent or slow down the growth of cancer cells by blocking the effects of VEGF. Docetaxel and carboplatin are standard chemotherapy drugs that have been approved by the FDA for the treatment of NSCLC. Docetaxel and carboplatin are designed to work by stopping the division of cancer cells. If you are found to be eligible, you will begin receiving Avastin®, docetaxel, and carboplatin. Avastin®, carboplatin, and docetaxel will be given by vein once every 3 weeks. The first dose of Avastin® will be given over 90 minutes. The second dose of Avastin® will be given over 60 minutes. All other doses of Avastin® will be given over 30 minutes. Carboplatin and docetaxel will always be given over 30 minutes. They will be given on the same day every 3 weeks (1 cycle). You may receive up to 6 cycles of treatment. You will receive standard premedication with dexamethasone to help decrease the risk of side effects. Dexamethasone will be taken before you receive your docetaxel infusion. During the study, you will have blood tests (about 2 teaspoons) every 3 weeks to look at your blood counts. These samples will be used only for routine lab tests. You will be seen by a physician every 3 weeks and given a physical exam. Your blood pressure will be monitored, and you will be asked about any side effects you are experiencing. A performance status evaluation will also be done. In addition, you will have a urine test every 2 cycles of treatment. After 2 cycles of treatment (6 weeks), you will have a chest x ray and computerized tomography (CT) or magnetic resonance imaging (MRI) scan to evaluate the status of the disease. These will be repeated every 2 cycles. Your continued participation in this study depends on how your cancer responds to the study drugs. Your doctor may decide to take you off this study if you experience significant side effects or your medical condition worsens. You may continue receiving bevacizumab for as long as your cancer responds to study treatment. You will be followed up on by phone or at routine clinic visits for at least 12 months to monitor your condition and disease status. This is an investigational study. Avastin® has been approved by the FDA for the treatment of colorectal cancer. Docetaxel and carboplatin are FDA approved and commercially available. The use of these drugs together in this study is experimental. A total of 50 patients will take part in this study. All participants will be enrolled at M. D. Anderson.",Completed,All,18 Years,,"Non Small Cell Lung Cancer, Lung Cancer, Bevacizumab, Carboplatin, Docetaxel, Avastin, NSCLC, Anti VEGF monoclonal antibody, rhuMAb VEGF, Paraplatin®, Taxotere","Baseline up to 12 months or disease progression,death",,Single Group Assignment,Treatment,Non Small Cell Lung Cancer,"Bevacizumab (Avastin), Carboplatin, Docetaxel"
NCT03322566,"A Study of Pembrolizumab Plus Epacadostat With Platinum based Chemotherapy Versus Pembrolizumab Plus Platinum based Chemotherapy Plus Placebo in Metastatic Non Small Cell Lung Cancer (KEYNOTE 715 06,ECHO 306 06)",The purpose of this study was to evaluate the efficacy and safety of pembrolizumab plus epacadostat with platinum based chemotherapy versus pembrolizumab plus platinum based chemotherapy plus placebo as first line therapy in participants with metastatic non small cell lung cancer (NSCLC).,,Completed,All,18 Years,,"Non small cell lung cancer, programmed cell death 1 (PD 1) inhibitor, indoleamine 2, 3 dioxygenase 1 (IDO1) inhibitor, chemotherapy",Assessed every 12 weeks up to 24 months,Randomized,Parallel Assignment,Treatment,Lung Cancer,"Pembrolizumab, Epacadostat, Platinum based chemotherapy, Placebo"
NCT00294762,Erlotinib (Tarceva) as a Single Agent or Intercalated With Combination Chemotherapy in Patients With EGFR Positive NSCLC,"This will be the first prospective study where patients will be selected on the basis of two measures of the epidermal growth factor receptor (EGFR) pathway. The study will assess prospectively the efficacy of erlotinib as a single agent or intercalated with chemotherapy in highly selected patients with EGFR overexpression and,or EGFR amplification.",,Completed,All,18 Years,,"NSCLC, Erlotinib, Tarceva, Lung Cancer",6 months after first dose,Randomized,Parallel Assignment,Treatment,"Carcinoma, Non Small Cell Lung","Tarceva, carboplatin, paclitaxel"
NCT04144608,Toripalimab Combined With Double Platinum Based Chemotherapy for Potentially Resectable Non driver Gene Mutation Non small Cell Lung Cancer,The aim of the study was to investigate the safety and efficacy of Toripalimab Combined With Double Platinum Based Chemotherapy for Potentially Resectable Non driver Gene Mutation Non small Cell Lung Cancer.,,Completed,All,18 Years,70 Years,Toripalimab NSCLC,Approximately 1 years,,Single Group Assignment,Treatment,Advanced Non Small Cell Lung Cancer,Toripalimab combination with platinum containing dual drug chemotherapy
NCT00700180,A Study of Avastin (Bevacizumab) in Combination With Carboplatin Based Chemotherapy in Patients With Advanced or Recurrent Non Squamous Non Small Cell Lung Cancer.,"This study will explore the correlation of biomarkers with response rate, and the overall efficacy and safety, of Avastin in combination with carboplatin based chemotherapy in patients with advanced or recurrent non squamous non small cell lung cancer. Patients will be randomized to one of 2 groups, to receive either Avastin 7.5mg,kg iv on day 1 of each 3 week cycle, or Avastin 15mg,kg iv on day 1 of each 3 week cycle; all patients will also receive treatment with carboplatin and either gemcitabine or paclitaxel for a maximum of 6 cycles. The anticipated time on study treatment is until disease progression, and the target sample size is 100 500 individuals.",,Completed,All,18 Years,,,"Baseline, Day 21 of Cycles 2, 4, and 6 (Bv + chemo), Day 21 of Cycles 7, 8, 9, and 10 (Bv), Day 21 of every other cycle (Bv), and at disease progression.",Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Cancer,"bevacizumab Avastin, bevacizumab Avastin, Carboplatin based chemotherapy"
NCT00770588,"Assess the Efficacy, Safety and Tolerability of Gefitinib (Iressa® 250mg) as Maintenance Therapy in Locally Advanced or Metastatic (Stage IIIB,IV) Non Small Cell Lung Cancer (NSCLC)","This is a double blind, multicentre, randomized, placebo controlled study. The eligible patients will be randomized to receive gefitinib or placebo at 1:1 ratio. This study will recruit 296 male or female, histologically or cytologically diagnosed locally advanced or metastatic NSCLC patients with a World Health Organization (WHO) Performance Status (PS) 0 2. Patients must have completed 4 cycles of platinum based first line doublet chemotherapy without experiencing disease progression or unacceptable toxicity. The chemotherapy shall be given every 3 weeks, which includes cisplatin or carboplatin, combined with any one of the following: gemcitabine, paclitaxel, docetaxel, vinorelbine.",,Completed,All,18 Years,,"non small cell lung cancer (NSCLC), Gefitinib","From date of randomization until the date of first documented progression or date of death from any cause, whichever came first.The primary analysis of PFS will be performed when at least 265 events have occurred, which is expected to occur approximately.",Randomized,Parallel Assignment,Treatment,Non small Cell Lung Cancer (NSCLC),"Gefitinib, Placebo"
NCT01836575,Alimta® Versus Its Combination With Carboplatin in Advanced Non small cell Lung Cancer in Patients Performance Status 2,"Optimal management of patients with advanced NSCLC and with PS 2 remains controversial and underrepresented in clinical trials, typically accounting for 5 to 10% of enrolled patients. Patient PS 2 proportion in population based studies is considerably higher than that included in clinical trials. Management of patients with PS of 2 in clinical practice is empirical and inconsistent. Patients have median overall survival of 3 to 5 months in randomized trials, and treatment options include best supportive care, single agent and combination chemotherapy. Retrospective studies have suggested that patients PS 2 may benefit from first line chemotherapy in terms of symptom improvement and overall survival. In many of these studies, single agent chemotherapy was compared with best supportive care alone. Data on the role of cisplatin based combinations for patients with PS 2 is more scant, with one study questioning its benefit, and another interrupting accrual because of undue toxicity. With regards to carboplatin, the Cancer and Leukemia Group B (CALGB) study 9730 compared paclitaxel plus carboplatin versus paclitaxel alone in a subgroup of 107 patients with PS 2; the median overall survival was significantly longer in group treated with combination chemotherapy (4.7 versus 2.4 months). Combination chemotherapy with carboplatin and paclitaxel also produced a statistically significantly higher incidence of severe hematological and non hematological toxicities. On the basis of aforementioned results, a recent European panel stated that carboplatin based or low dose cisplatin based doublets might represent alternative options to single agent chemoterapy in patients PS 2. Outside clinical trials, single agent chemotherapy with a 3rd generation agent remains valid option for patients PS2. Results demonstrate that pemetrexed is an agent with established single agent activity in NSCLC, and suggest it is a potential candidate for combinations with platinum and other agents currently utilized for patients with advanced NSCLC. Favorable toxicity profile of pemetrexed suggests that this agent is an ideal candidate for single agent testing and in combination among patients with PS 2. Substantial doubt remains in the comparative benefit from monotherapy versus combination. Starting dose and schedule of pemetrexed were set for this study based on its current labeling in the 2nd line treatment of metastatic NSCLC and 1st line treatment of malignant pleural mesothelioma.","This is a Phase III, open label, randomized study to enroll 228 patients with advanced in a 1:1 ratio at the time of registration. Patients in Arm A will receive pemetrexed, 500 mg,m2, with appropriate vitamin supplementation; patients in Arm B will receive the same dose and schedule of pemetrexed as in Arm A, in combination with carboplatin, AUC of 5. For the purpose of the study, treatment (Arm A or Arm B) will consist of up to four cycles of therapy (repeated every 21 days). Primary endpoint of the study is overall survival; secondary endpoints include toxicity, response rate, and progression free survival. At the time of analysis, patients will be stratified according to age (≥ 70 versus < 70 years), disease stage (IIIB versus IV), site, and weight loss (≥ 5 Kg versus < 5 Kg). The dose of carboplatin will be determined according to the formula developed by Calvert et al., which is shown in equation 1 below and uses the estimated creatinine clearance according to the method of Cockcroft and Gault for estimation of the glomerular filtration rate (GFR) (equation 2 below): Dose of carboplatin (mg) = Target AUC x (GFR + 25). GFR = (140  Age) x Weight,(72 x serum creatinine) (multiply by 0.85 in women) Sample Size and Expected Accrual In the CALGB 9730 study of advanced NSCLC, first line treatment with paclitaxel plus carboplatin resulted in a median overall survival of 4.7 months among patients with a performance status of 2. In the ECOG 1594 study, the median overall survival of patients with a performance status of 2 who were treated with platinum based doublets was 4.1 months. Approximately 208 eligible patients are needed to provide 80% power to detect a difference between the two treatment arms with a two sided type I error of 0.05, assuming that pemetrexed plus carboplatin will result in a median survival of at least 4.3 months, and pemetrexed alone 2.9 months. An additional 20 patients will be accrued to account for an early dropout rate of 10%, for a total of 228 patients. It is anticipated that the accrual time will be approximately 22 months and patients will be followed for 1 year after completion of treatment; therefore, 2 years and 10 months will be needed to complete the study.",Completed,All,18 Years,,"Advanced NSCLC, PS2, Pemetrexed, First line, non squamous",From ICF signature date until e until death date for any cause,Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Carcinoma,"Pemetrexed, Carboplatin"
NCT01892046,Safety and Pharmacology of SNX 5422 Plus Carboplatin and Paclitaxel in Subjects With Solid Tumors,Heat shock protein 90 (Hsp90) is a chemical in the body that is involve in the promotion of cancer. SNX 5422 is an experimental drug that blocks Hsp90.,"Heat shock protein 90 (Hsp90) chaperone proteins stabilize well over 200 different known client proteins helping them to fold correctly as they take up their rightful positions in the cell. Inhibitors of the chaperone protein Hsp90 are of current interest because of the central role of Hsp90 in the maturation and maintenance of numerous proteins that are critical for tumor cell viability and growth. SNX 5422 is a pro drug of SNX 2112, a potent, highly selective, small molecule inhibitor of the molecular chaperone heat shock protein 90 (Hsp90). The study will determine the maximum tolerated dose (MTD) of SNX 5422 when combined with carboplatin plus paclitaxel in selected solid tumors and assess the safety and efficacy of SNX 5422 alone dosed at the MTD as maintenance therapy in selected solid tumors treatment.",Completed,All,18 Years,,"Small Cell Lung Cancer, Non Small Cell Lung Cancer, Hsp90",First 28 day cycle,,Single Group Assignment,Treatment,Cancer,SNX 5422
NCT00667641,Paclitaxel and Bortezomib in Treating Patients With Metastatic or Unresectable Malignant Solid Tumors,"RATIONALE: Drugs used in chemotherapy, such as paclitaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Bortezomib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving paclitaxel together with bortezomib may kill more tumor cells. PURPOSE: This phase I trial is studying the side effects and best dose of paclitaxel and bortezomib in treating patients with metastatic or unresectable malignant solid tumors.","OBJECTIVES: Primary To identify the maximum tolerated dose of paclitaxel in combination with bortezomib in patients with metastatic or unresectable solid tumor malignancies that involve an activated Ras,Raf,MAPK pathway. Secondary To assess the toxicity of this regimen.. To assess tumor response in these patients.. To determine whether Bim is upregulated in peripheral blood mononuclear cells obtained from patients treated with this regimen.. To correlate markers of Ras,Raf,MAPK pathway activation in fresh or archived tumor tissue with clinical response in these patients.. To perform pharmacokinetic (PK) studies to determine whether bortezomib alters paclitaxel PK parameters. OUTLINE: Patients receive paclitaxel IV over 1 hour and bortezomib IV on days 1, 8, and 15. Treatment repeats every 21 days in the absence of disease progression or unacceptable toxicity. Blood samples are collected at baseline and periodically during course 1 for pharmacokinetic and biomarker studies. Blood samples are analyzed for plasma concentrations of paclitaxel by high performance liquid chromatography and for Bim protein levels and phosphorylation status by western blotting. Tumor tissue samples, if available, are analyzed to evaluate the presence of an activated Ras,Raf,MAPK pathway. Tumor tissue samples are analyzed for Ras and,or Raf mutations by nucleic acid extraction and direct sequencing; Ras and,or Raf overexpression by western blotting; Ras activation assay; and,or phospho ERK by western blotting and IHC.",Completed,All,18 Years,,"unspecified adult solid tumor, protocol specific, recurrent breast cancer, stage IV breast cancer, recurrent prostate cancer, stage IV prostate cancer, recurrent colon cancer, stage IV colon cancer, recurrent pancreatic cancer, stage IV pancreatic cancer, recurrent ovarian epithelial cancer, stage IV ovarian epithelial cancer, recurrent ovarian germ cell tumor, stage IV ovarian germ cell tumor, recurrent non small cell lung cancer, stage IV non small cell lung cancer, recurrent melanoma, stage IV melanoma, stage IV papillary thyroid cancer, recurrent thyroid cancer",2 years,Non Randomized,Single Group Assignment,Treatment,"Breast Cancer, Colorectal Cancer, Head and Neck Cancer, Lung Cancer, Melanoma (Skin), Ovarian Cancer, Pancreatic Cancer, Prostate Cancer, Unspecified Adult Solid Tumor, Protocol Specific","bortezomib, paclitaxel"
